,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year
0,Norway,Western Europe,7.54,1.62,1.53,0.8,0.64,0.36,0.32,2017
1,Denmark,Western Europe,7.52,1.48,1.55,0.79,0.63,0.36,0.4,2017
2,Iceland,Western Europe,7.5,1.48,1.61,0.83,0.63,0.48,0.15,2017
3,Switzerland,Western Europe,7.49,1.56,1.52,0.86,0.62,0.29,0.37,2017
4,Finland,Western Europe,7.47,1.44,1.54,0.81,0.62,0.25,0.38,2017
5,Netherlands,Western Europe,7.38,1.5,1.43,0.81,0.59,0.47,0.28,2017
6,Canada,North America,7.32,1.48,1.48,0.83,0.61,0.44,0.29,2017
7,New Zealand,Australia and New Zealand,7.31,1.41,1.55,0.82,0.61,0.5,0.38,2017
8,Sweden,Western Europe,7.28,1.49,1.48,0.83,0.61,0.39,0.38,2017
9,Australia,Australia and New Zealand,7.28,1.48,1.51,0.84,0.6,0.48,0.3,2017
10,Israel,Middle East and Northern Africa,7.21,1.38,1.38,0.84,0.41,0.33,0.09,2017
11,Costa Rica,Latin America and Caribbean,7.08,1.11,1.42,0.76,0.58,0.21,0.1,2017
12,Austria,Western Europe,7.01,1.49,1.46,0.82,0.57,0.32,0.22,2017
13,United States,North America,6.99,1.55,1.42,0.77,0.51,0.39,0.14,2017
14,Ireland,Western Europe,6.98,1.54,1.56,0.81,0.57,0.43,0.3,2017
15,Germany,Western Europe,6.95,1.49,1.47,0.8,0.56,0.34,0.28,2017
16,Belgium,Western Europe,6.89,1.46,1.46,0.82,0.54,0.23,0.25,2017
17,Luxembourg,Western Europe,6.86,1.74,1.46,0.85,0.6,0.28,0.32,2017
18,United Kingdom,Western Europe,6.71,1.44,1.5,0.81,0.51,0.49,0.27,2017
19,Chile,Latin America and Caribbean,6.65,1.25,1.28,0.82,0.38,0.33,0.08,2017
20,United Arab Emirates,Middle East and Northern Africa,6.65,1.63,1.27,0.73,0.61,0.36,0.32,2017
21,Brazil,Latin America and Caribbean,6.64,1.11,1.43,0.62,0.44,0.16,0.11,2017
22,Czech Republic,Central and Eastern Europe,6.61,1.35,1.43,0.75,0.49,0.09,0.04,2017
23,Argentina,Latin America and Caribbean,6.6,1.19,1.44,0.7,0.49,0.11,0.06,2017
24,Mexico,Latin America and Caribbean,6.58,1.15,1.21,0.71,0.41,0.12,0.13,2017
25,Singapore,Southeastern Asia,6.57,1.69,1.35,0.95,0.55,0.35,0.46,2017
26,Malta,Western Europe,6.53,1.34,1.49,0.82,0.59,0.57,0.15,2017
27,Uruguay,Latin America and Caribbean,6.45,1.22,1.41,0.72,0.58,0.18,0.18,2017
28,Guatemala,Latin America and Caribbean,6.45,0.87,1.26,0.54,0.53,0.28,0.08,2017
29,Panama,Latin America and Caribbean,6.45,1.23,1.37,0.71,0.55,0.21,0.07,2017
30,France,Western Europe,6.44,1.43,1.39,0.84,0.47,0.13,0.17,2017
31,Thailand,Southeastern Asia,6.42,1.13,1.43,0.65,0.58,0.57,0.03,2017
32,Taiwan,Eastern Asia,6.42,1.43,1.38,0.79,0.36,0.26,0.06,2017
33,Spain,Western Europe,6.4,1.38,1.53,0.89,0.41,0.19,0.07,2017
34,Qatar,Middle East and Northern Africa,6.38,1.87,1.27,0.71,0.6,0.33,0.44,2017
35,Colombia,Latin America and Caribbean,6.36,1.07,1.4,0.6,0.48,0.15,0.05,2017
36,Saudi Arabia,Middle East and Northern Africa,6.34,1.53,1.29,0.59,0.45,0.15,0.27,2017
37,Trinidad and Tobago,Latin America and Caribbean,6.17,1.36,1.38,0.52,0.52,0.33,0.01,2017
38,Kuwait,Middle East and Northern Africa,6.11,1.63,1.26,0.63,0.5,0.23,0.22,2017
