Country;Region;Happiness Rank;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual
Denmark;Western Europe;1;7,53;7,46;7,59;1,44;1,16;0,8;0,58;0,44;0,36;2,74
Switzerland;Western Europe;2;7,51;7,43;7,59;1,53;1,15;0,86;0,59;0,41;0,28;2,69
Iceland;Western Europe;3;7,5;7,33;7,67;1,43;1,18;0,87;0,57;0,15;0,48;2,83
Norway;Western Europe;4;7,5;7,42;7,58;1,58;1,13;0,8;0,6;0,36;0,38;2,66
Finland;Western Europe;5;7,41;7,35;7,48;1,41;1,13;0,81;0,57;0,41;0,25;2,83
Canada;North America;6;7,4;7,34;7,47;1,44;1,1;0,83;0,57;0,31;0,45;2,7
Netherlands;Western Europe;7;7,34;7,28;7,39;1,46;1,03;0,81;0,55;0,3;0,47;2,71
New Zealand;Australia and New Zealand;8;7,33;7,26;7,4;1,36;1,17;0,83;0,58;0,42;0,49;2,48
Australia;Australia and New Zealand;9;7,31;7,24;7,39;1,44;1,1;0,85;0,57;0,32;0,47;2,55
Sweden;Western Europe;10;7,29;7,23;7,36;1,45;1,09;0,83;0,58;0,41;0,38;2,55
Israel;Middle East and Northern Africa;11;7,27;7,2;7,34;1,34;1;0,85;0,36;0,09;0,32;3,31
Austria;Western Europe;12;7,12;7,05;7,19;1,45;1,08;0,81;0,54;0,21;0,33;2,69
United States;North America;13;7,1;7,02;7,19;1,51;1,05;0,78;0,48;0,15;0,41;2,73
Costa Rica;Latin America and Caribbean;14;7,09;7;7,18;1,07;1,02;0,76;0,55;0,11;0,23;3,35
Germany;Western Europe;16;6,99;6,93;7,06;1,45;1,1;0,81;0,53;0,29;0,3;2,51
Brazil;Latin America and Caribbean;17;6,95;6,88;7,03;1,09;1,04;0,61;0,4;0,14;0,16;3,51
Belgium;Western Europe;18;6,93;6,86;7;1,43;1,05;0,82;0,51;0,26;0,24;2,61
Ireland;Western Europe;19;6,91;6,84;6,98;1,48;1,16;0,81;0,54;0,3;0,45;2,16
Luxembourg;Western Europe;20;6,87;6,8;6,94;1,7;1,04;0,85;0,55;0,35;0,28;2,11
Mexico;Latin America and Caribbean;21;6,78;6,68;6,88;1,12;0,71;0,71;0,38;0,18;0,12;3,56
Singapore;Southeastern Asia;22;6,74;6,67;6,8;1,65;0,87;0,95;0,49;0,47;0,33;1,99
United Kingdom;Western Europe;23;6,73;6,65;6,8;1,4;1,09;0,81;0,5;0,27;0,5;2,15
Chile;Latin America and Caribbean;24;6,71;6,62;6,8;1,22;0,91;0,82;0,38;0,11;0,32;2,96
Panama;Latin America and Caribbean;25;6,7;6,6;6,8;1,18;0,99;0,71;0,49;0,08;0,24;3,01
Argentina;Latin America and Caribbean;26;6,65;6,56;6,74;1,15;1,07;0,7;0,42;0,07;0,11;3,13
Czech Republic;Central and Eastern Europe;27;6,6;6,52;6,68;1,31;1,01;0,76;0,41;0,04;0,1;2,96
United Arab Emirates;Middle East and Northern Africa;28;6,57;6,49;6,65;1,57;0,87;0,73;0,56;0,36;0,27;2,22
Uruguay;Latin America and Caribbean;29;6,55;6,46;6,63;1,18;1,03;0,72;0,54;0,21;0,18;2,67
Malta;Western Europe;30;6,49;6,41;6,57;1,31;1,1;0,8;0,55;0,18;0,56;1,99
Colombia;Latin America and Caribbean;31;6,48;6,38;6,58;1,03;1,02;0,6;0,45;0,05;0,16;3,17
France;Western Europe;32;6,48;6,4;6,56;1,39;1,01;0,84;0,47;0,18;0,12;2,47
Thailand;Southeastern Asia;33;6,47;6,4;6,55;1,09;1,04;0,65;0,5;0,03;0,59;2,58
Saudi Arabia;Middle East and Northern Africa;34;6,38;6,29;6,47;1,49;0,85;0,59;0,38;0,3;0,15;2,61
Taiwan;Eastern Asia;34;6,38;6,31;6,45;1,4;0,93;0,8;0,32;0,07;0,25;2,62
Qatar;Middle East and Northern Africa;36;6,38;6,18;6,57;1,82;0,88;0,72;0,57;0,48;0,32;1,58
Spain;Western Europe;37;6,36;6,29;6,43;1,34;1,13;0,88;0,38;0,06;0,18;2,4
Algeria;Middle East and Northern Africa;38;6,36;6,23;6,48;1,05;0,83;0,62;0,21;0,16;0,07;3,41
Guatemala;Latin America and Caribbean;39;6,32;6,21;6,44;0,83;0,87;0,54;0,5;0,09;0,29;3,2
Kuwait;Middle East and Northern Africa;41;6,24;6,15;6,32;1,62;0,88;0,64;0,43;0,24;0,16;2,28
Bahrain;Middle East and Northern Africa;42;6,22;6,13;6,31;1,44;0,94;0,66;0,47;0,26;0,17;2,27
Trinidad and Tobago;Latin America and Caribbean;43;6,17;5,95;6,39;1,33;0,99;0,53;0,48;0,01;0,32;2,51
Venezuela;Latin America and Caribbean;44;6,08;5,97;6,2;1,13;1,03;0,62;0,2;0,08;0,04;2,97
Slovakia;Central and Eastern Europe;45;6,08;6;6,16;1,28;1,08;0,7;0,23;0,03;0,14;2,61
El Salvador;Latin America and Caribbean;46;6,07;5,97;6,17;0,87;0,81;0,6;0,37;0,11;0,09;3,22
