Country;Region;Happiness.Rank;Happiness.Score;Whisker.high;Whisker.low;Economy..GDP.per.Capita.;Family;Health..Life.Expectancy.;Freedom;Generosity;Trust..Government.Corruption.;Dystopia.Residual
Norway;Western Europe;1;7,54;7,59;7,48;1,62;1,53;0,8;0,64;0,36;0,32;2,28
Denmark;Western Europe;2;7,52;7,58;7,46;1,48;1,55;0,79;0,63;0,36;0,4;2,31
Iceland;Western Europe;3;7,5;7,62;7,39;1,48;1,61;0,83;0,63;0,48;0,15;2,32
Switzerland;Western Europe;4;7,49;7,56;7,43;1,56;1,52;0,86;0,62;0,29;0,37;2,28
Finland;Western Europe;5;7,47;7,53;7,41;1,44;1,54;0,81;0,62;0,25;0,38;2,43
Netherlands;Western Europe;6;7,38;7,43;7,33;1,5;1,43;0,81;0,59;0,47;0,28;2,29
Canada;North America;7;7,32;7,38;7,25;1,48;1,48;0,83;0,61;0,44;0,29;2,19
New Zealand;Australia and New Zealand;8;7,31;7,38;7,25;1,41;1,55;0,82;0,61;0,5;0,38;2,05
Sweden;Western Europe;9;7,28;7,34;7,22;1,49;1,48;0,83;0,61;0,39;0,38;2,1
Australia;Australia and New Zealand;10;7,28;7,36;7,21;1,48;1,51;0,84;0,6;0,48;0,3;2,07
Israel;Middle East and Northern Africa;11;7,21;7,28;7,15;1,38;1,38;0,84;0,41;0,33;0,09;2,8
Costa Rica;Latin America and Caribbean;12;7,08;7,17;6,99;1,11;1,42;0,76;0,58;0,21;0,1;2,9
Austria;Western Europe;13;7,01;7,07;6,94;1,49;1,46;0,82;0,57;0,32;0,22;2,14
United States;North America;14;6,99;7,07;6,91;1,55;1,42;0,77;0,51;0,39;0,14;2,22
Ireland;Western Europe;15;6,98;7,04;6,91;1,54;1,56;0,81;0,57;0,43;0,3;1,77
Germany;Western Europe;16;6,95;7,01;6,9;1,49;1,47;0,8;0,56;0,34;0,28;2,02
Belgium;Western Europe;17;6,89;6,96;6,83;1,46;1,46;0,82;0,54;0,23;0,25;2,12
Luxembourg;Western Europe;18;6,86;6,92;6,8;1,74;1,46;0,85;0,6;0,28;0,32;1,62
United Kingdom;Western Europe;19;6,71;6,78;6,64;1,44;1,5;0,81;0,51;0,49;0,27;1,7
Chile;Latin America and Caribbean;20;6,65;6,74;6,56;1,25;1,28;0,82;0,38;0,33;0,08;2,51
United Arab Emirates;Middle East and Northern Africa;21;6,65;6,72;6,57;1,63;1,27;0,73;0,61;0,36;0,32;1,73
Brazil;Latin America and Caribbean;22;6,64;6,73;6,54;1,11;1,43;0,62;0,44;0,16;0,11;2,77
Czech Republic;Central and Eastern Europe;23;6,61;6,68;6,53;1,35;1,43;0,75;0,49;0,09;0,04;2,45
Argentina;Latin America and Caribbean;24;6,6;6,69;6,51;1,19;1,44;0,7;0,49;0,11;0,06;2,61
Mexico;Latin America and Caribbean;25;6,58;6,67;6,48;1,15;1,21;0,71;0,41;0,12;0,13;2,84
Singapore;Southeastern Asia;26;6,57;6,64;6,51;1,69;1,35;0,95;0,55;0,35;0,46;1,22
Malta;Western Europe;27;6,53;6,6;6,46;1,34;1,49;0,82;0,59;0,57;0,15;1,56
Uruguay;Latin America and Caribbean;28;6,45;6,55;6,36;1,22;1,41;0,72;0,58;0,18;0,18;2,17
Guatemala;Latin America and Caribbean;29;6,45;6,57;6,34;0,87;1,26;0,54;0,53;0,28;0,08;2,89
Panama;Latin America and Caribbean;30;6,45;6,56;6,35;1,23;1,37;0,71;0,55;0,21;0,07;2,31
France;Western Europe;31;6,44;6,52;6,37;1,43;1,39;0,84;0,47;0,13;0,17;2,01
Thailand;Southeastern Asia;32;6,42;6,51;6,34;1,13;1,43;0,65;0,58;0,57;0,03;2,04
Taiwan;Eastern Asia;33;6,42;6,49;6,35;1,43;1,38;0,79;0,36;0,26;0,06;2,13
Spain;Western Europe;34;6,4;6,47;6,33;1,38;1,53;0,89;0,41;0,19;0,07;1,93
Qatar;Middle East and Northern Africa;35;6,38;6,57;6,18;1,87;1,27;0,71;0,6;0,33;0,44;1,15
Colombia;Latin America and Caribbean;36;6,36;6,45;6,26;1,07;1,4;0,6;0,48;0,15;0,05;2,62
Saudi Arabia;Middle East and Northern Africa;37;6,34;6,44;6,24;1,53;1,29;0,59;0,45;0,15;0,27;2,07
Trinidad and Tobago;Latin America and Caribbean;38;6,17;6,38;5,95;1,36;1,38;0,52;0,52;0,33;0,01;2,05
Kuwait;Middle East and Northern Africa;39;6,11;6,19;6,02;1,63;1,26;0,63;0,5;0,23;0,22;1,64
Slovakia;Central and Eastern Europe;40;6,1;6,18;6,02;1,33;1,51;0,71;0,3;0,14;0,02;2,1
Bahrain;Middle East and Northern Africa;41;6,09;6,18;6;1,49;1,32;0,65;0,54;0,17;0,26;1,66
Malaysia;Southeastern Asia;42;6,08;6,18;5,99;1,29;1,28;0,62;0,4;0,42;0,07;2
Nicaragua;Latin America and Caribbean;43;6,07;6,19;5,96;0,74;1,29;0,65;0,45;0,3;0,13;2,51
Ecuador;Latin America and Caribbean;44;6,01;6,11;5,91;1;1,29;0,69;0,46;0,15;0,14;2,29
El Salvador;Latin America and Caribbean;45;6;6,11;5,9;0,91;1,18;0,6;0,43;0,08;0,09;2,71
Poland;Central and Eastern Europe;46;5,97;6,05;5,89;1,29;1,45;0,7;0,52;0,16;0,06;1,8
Uzbekistan;Central and Eastern Europe;47;5,97;6,07;5,88;0,79;1,55;0,5;0,66;0,42;0,25;1,82
Italy;Western Europe;48;5,96;6,04;5,89;1,4;1,44;0,85;0,26;0,17;0,03;1,81
Russia;Central and Eastern Europe;49;5,96;6,03;5,9;1,28;1,47;0,55;0,37;0,05;0,03;2,21
Japan;Eastern Asia;51;5,92;5,99;5,85;1,42;1,44;0,91;0,51;0,12;0,16;1,36
Lithuania;Central and Eastern Europe;52;5,9;5,98;5,82;1,31;1,47;0,63;0,23;0,01;0,01;2,23
Algeria;Middle East and Northern Africa;53;5,87;5,98;5,77;1,09;1,15;0,62;0,23;0,07;0,15;2,57
Latvia;Central and Eastern Europe;54;5,85;5,92;5,78;1,26;1,4;0,64;0,33;0,15;0,07;1,99
South Korea;Eastern Asia;55;5,84;5,92;5,75;1,4;1,13;0,9;0,26;0,21;0,06;1,88
Moldova;Central and Eastern Europe;56;5,84;5,91;5,77;0,73;1,25;0,59;0,24;0,21;0,01;2,81
Romania;Central and Eastern Europe;57;5,82;5,92;5,73;1,22;1,15;0,69;0,46;0,13;0;2,18
Bolivia;Latin America and Caribbean;58;5,82;5,9;5,74;0,83;1,23;0,47;0,56;0,23;0,06;2,44
Turkmenistan;Central and Eastern Europe;59;5,82;5,89;5,76;1,13;1,49;0,44;0,42;0,25;0,26;1,83
Kazakhstan;Central and Eastern Europe;60;5,82;5,9;5,73;1,28;1,38;0,61;0,44;0,2;0,12;1,78
North Cyprus;Western Europe;61;5,81;5,9;5,72;1,35;1,19;0,83;0,47;0,27;0,16;1,55
Slovenia;Central and Eastern Europe;62;5,76;5,84;5,67;1,34;1,45;0,79;0,57;0,24;0,05;1,31
Peru;Latin America and Caribbean;63;5,72;5,81;5,62;1,04;1,22;0,63;0,45;0,13;0,05;2,21
Mauritius;Sub-Saharan Africa;64;5,63;5,73;5,53;1,19;1,21;0,64;0,49;0,36;0,04;1,7
Cyprus;Western Europe;65;5,62;5,71;5,53;1,36;1,13;0,84;0,36;0,27;0,04;1,62
Estonia;Central and Eastern Europe;66;5,61;5,69;5,53;1,32;1,48;0,7;0,48;0,1;0,18;1,36
