Country,2015,2016,2017,2018,2019
Switzerland,"7,59","7,51","7,49","7,49","7,48"
Iceland,"7,56","7,5","7,5","7,50","7,49"
Denmark,"7,53","7,53","7,52","7,56","7,60"
Norway,"7,52","7,5","7,54","7,59","7,55"
Canada,"7,43","7,4","7,32","7,33","7,28"
Finland,"7,41","7,41","7,47","7,63","7,77"
Netherlands,"7,38","7,34","7,38","7,44","7,49"
Sweden,"7,36","7,29","7,28","7,31","7,34"
New Zealand,"7,29","7,33","7,31","7,32","7,31"
Australia,"7,28","7,31","7,28","7,27","7,23"
Israel,"7,28","7,27","7,21","6,81","7,14"
Costa Rica,"7,23","7,09","7,08","7,07","7,17"
Austria,"7,2","7,12","7,01","7,14","7,25"
Mexico,"7,19","6,78","6,58","6,49","6,60"
United States,"7,12","7,1","6,99","6,89","6,89"
Brazil,"6,98","6,95","6,64","6,42","6,30"
Luxembourg,"6,95","6,87","6,86","6,91","7,09"
Ireland,"6,94","6,91","6,98","6,98","7,02"
Belgium,"6,94","6,93","6,89","6,93","6,92"
United Arab Emirates,"6,9","6,57","6,65","6,77","6,83"
United Kingdom,"6,87","6,73","6,71","7,19","7,05"
Venezuela,"6,81","6,08","5,25","4,81","4,71"
Singapore,"6,8","6,74","6,57","6,34","6,26"
Panama,"6,79","6,7","6,45","6,43","6,32"
Germany,"6,75","6,99","6,95","6,97","6,99"
Chile,"6,67","6,71","6,65","6,48","6,44"
Qatar,"6,61","6,38","6,38","6,37","6,37"
France,"6,58","6,48","6,44","6,49","6,59"
Argentina,"6,57","6,65","6,6","6,39","6,09"
Czech Republic,"6,51","6,6","6,61","6,71","6,85"
Uruguay,"6,49","6,55","6,45","6,38","6,29"
Colombia,"6,48","6,48","6,36","6,26","6,13"
Thailand,"6,46","6,47","6,42","6,07","6,01"
Saudi Arabia,"6,41","6,38","6,34","6,37","6,38"
Spain,"6,33","6,36","6,4","6,31","6,35"
Malta,"6,3","6,49","6,53","6,63","6,73"
Taiwan,"6,3","6,38","6,42","6,44","6,45"
Kuwait,"6,3","6,24","6,11","6,08","6,02"
Trinidad and Tobago,"6,17","6,17","6,17","6,19","6,19"
El Salvador,"6,13","6,07",6,"6,17","6,25"
Guatemala,"6,12","6,32","6,45","6,38","6,44"
Uzbekistan,6,"5,99","5,97","6,10","6,17"
Slovakia,6,"6,08","6,1","6,17","6,20"
Japan,"5,99","5,92","5,92","5,92","5,89"
South Korea,"5,98","5,84","5,84","5,88","5,90"
Ecuador,"5,98","5,98","6,01","5,97","6,03"
